post_id,platform,post_date,content_type,impressions,reach,likes,comments,shares,saves
36,LinkedIn,05-02-2024,Carousel,17709,11028,652,99,33,69
37,Twitter,06-02-2024,Carousel,24552,15680,537,32,40,55
38,Twitter,07-02-2024,Video,39013,24906,646,61,33,24
39,Instagram,08-02-2024,Image,26592,17167,593,92,33,54
40,Twitter,09-02-2024,Video,11838,7595,481,28,18,23
41,Instagram,10-02-2024,Image,912,722,51,7,2,6
42,Twitter,11-02-2024,Text,8043,5264,367,37,14,33
43,Twitter,12-02-2024,Carousel,40855,28749,1260,180,32,140
44,Instagram,13-02-2024,Text,33996,29543,1775,100,121,62
45,Instagram,14-02-2024,Image,24048,17848,576,104,42,23
46,Twitter,15-02-2024,Image,27884,22314,838,164,58,97
47,LinkedIn,16-02-2024,Text,44925,29277,2160,421,123,83
48,Instagram,17-02-2024,Image,39256,25818,536,87,27,20
49,LinkedIn,18-02-2024,Text,19388,11870,298,20,26,9
50,LinkedIn,19-02-2024,Carousel,36235,23577,765,125,47,110
51,LinkedIn,20-02-2024,Text,47795,32671,705,37,41,83
52,Instagram,21-02-2024,Carousel,49316,32208,994,52,21,71
53,LinkedIn,22-02-2024,Text,18006,11282,620,61,29,40
54,Instagram,23-02-2024,Image,20963,13336,603,74,30,43
55,LinkedIn,24-02-2024,Text,18455,13624,1002,165,52,123
56,Twitter,25-02-2024,Image,38341,25377,1752,267,116,191
57,Twitter,26-02-2024,Text,5604,3974,160,18,10,8
58,Instagram,27-02-2024,Text,35411,26594,945,86,64,48
59,Twitter,28-02-2024,Video,23690,19120,817,163,66,34
60,Twitter,29-02-2024,Image,7857,4806,266,30,22,29
61,LinkedIn,01-03-2024,Video,32979,27696,999,117,77,121
62,Instagram,02-03-2024,Image,45311,35721,2052,152,197,126
63,LinkedIn,03-03-2024,Video,36708,22925,1021,172,21,33
64,LinkedIn,04-03-2024,Carousel,20650,17801,945,145,33,37
65,LinkedIn,05-03-2024,Text,6144,5383,248,20,5,36
66,LinkedIn,06-03-2024,Image,43786,27073,1019,63,73,66
67,LinkedIn,07-03-2024,Image,47820,32664,2512,382,230,307
68,LinkedIn,08-03-2024,Text,3414,2874,189,28,7,19
69,LinkedIn,09-03-2024,Image,21852,18016,511,46,48,38
70,Instagram,10-03-2024,Image,46852,30704,2214,426,54,121
71,Twitter,11-03-2024,Video,45412,30099,1482,107,140,66
72,LinkedIn,12-03-2024,Image,14897,10593,780,89,37,80
73,LinkedIn,13-03-2024,Carousel,42055,31345,2131,408,59,262
74,LinkedIn,14-03-2024,Carousel,47459,37277,1696,191,99,181
75,LinkedIn,15-03-2024,Text,1228,872,18,2,0,1
76,LinkedIn,16-03-2024,Image,1198,885,31,3,1,1
77,LinkedIn,17-03-2024,Text,40454,33343,1750,159,78,255
78,Twitter,18-03-2024,Carousel,47780,29193,1693,334,142,213
79,Twitter,19-03-2024,Image,14423,9746,345,38,21,22
80,LinkedIn,20-03-2024,Image,17279,14065,398,73,17,58
81,Twitter,21-03-2024,Text,7900,6861,480,40,33,49
82,Instagram,22-03-2024,Carousel,24966,18811,1487,121,114,148
83,LinkedIn,23-03-2024,Image,37439,28439,1465,80,61,175
84,Instagram,24-03-2024,Text,4860,3072,93,13,4,11
85,Instagram,25-03-2024,Carousel,35770,26263,954,100,28,103
86,LinkedIn,26-03-2024,Text,17601,13372,282,50,9,12
87,Twitter,27-03-2024,Video,32807,22070,1652,199,123,116
88,Instagram,28-03-2024,Image,5986,4075,110,21,3,15
89,LinkedIn,29-03-2024,Video,8835,6300,343,26,21,19
90,Instagram,30-03-2024,Carousel,21864,13250,482,86,36,35
91,Instagram,31-03-2024,Video,37759,26303,1400,233,39,114
92,Instagram,01-04-2024,Video,24076,15972,943,156,61,78
93,Instagram,02-04-2024,Carousel,32167,22460,1567,276,63,162
94,Twitter,03-04-2024,Text,11630,7395,239,39,23,34
95,Instagram,04-04-2024,Video,22472,19486,402,57,23,23
96,Instagram,05-04-2024,Text,40919,31838,898,62,75,40
97,Instagram,06-04-2024,Video,1667,1339,99,5,6,5
98,Twitter,07-04-2024,Text,27692,23171,1678,315,39,228
99,Instagram,08-04-2024,Carousel,1562,1170,65,9,4,6
100,Instagram,09-04-2024,Video,19040,11920,667,113,64,42
101,Twitter,10-04-2024,Carousel,24744,18833,1128,137,76,144
102,Twitter,11-04-2024,Video,22045,17108,522,35,44,69
103,Twitter,12-04-2024,Carousel,22189,18275,1368,94,124,180
104,Instagram,13-04-2024,Carousel,11674,8516,384,58,14,53
105,Twitter,14-04-2024,Video,23425,14951,642,73,23,38
106,Twitter,15-04-2024,Video,37997,26032,1331,106,91,160
107,Instagram,16-04-2024,Video,9848,6981,159,19,8,13
108,Twitter,17-04-2024,Image,24214,19220,576,34,50,75
109,Instagram,18-04-2024,Text,38602,29771,1913,262,175,224
110,LinkedIn,19-04-2024,Image,9424,6661,166,14,8,20
111,Twitter,20-04-2024,Image,37598,33686,1892,320,73,205
112,LinkedIn,21-04-2024,Carousel,24894,19460,675,65,55,34
113,Instagram,22-04-2024,Video,7301,4900,212,25,8,20
114,Twitter,23-04-2024,Text,38114,24032,896,46,76,132
115,Instagram,24-04-2024,Carousel,7231,4670,193,11,10,27
116,LinkedIn,25-04-2024,Image,48636,32770,2069,225,151,72
117,Instagram,26-04-2024,Video,24125,15637,591,72,16,29
118,Twitter,27-04-2024,Carousel,17837,11700,631,88,44,28
119,Twitter,28-04-2024,Video,35807,24546,1192,111,66,139
120,LinkedIn,29-04-2024,Carousel,7556,4926,294,45,19,37
121,Instagram,30-04-2024,Video,12016,10442,795,142,26,44
122,Twitter,01-05-2024,Image,44761,27934,1786,298,141,161
123,LinkedIn,02-05-2024,Text,2042,1546,50,2,4,6
124,Twitter,03-05-2024,Image,22177,16036,350,42,13,41
125,Twitter,04-05-2024,Text,47232,42259,1510,99,41,143
126,Instagram,05-05-2024,Video,39581,25078,1396,120,30,140
127,Twitter,06-05-2024,Carousel,28069,20191,466,92,33,42
128,Instagram,07-05-2024,Image,23822,21221,1056,75,72,69
129,Twitter,08-05-2024,Text,19565,16819,938,117,59,91
130,LinkedIn,09-05-2024,Image,18424,15570,623,88,24,70
131,Twitter,10-05-2024,Text,23056,15617,1034,160,53,139
132,Instagram,11-05-2024,Image,27462,17885,472,63,31,50
133,Instagram,12-05-2024,Text,28795,23053,564,29,33,68
134,LinkedIn,13-05-2024,Text,14307,12573,800,79,79,39
135,Twitter,14-05-2024,Video,42848,32865,1634,208,50,139
136,Twitter,15-05-2024,Text,26932,20777,1273,80,96,39
137,LinkedIn,16-05-2024,Video,18249,12482,575,58,30,34
138,Twitter,17-05-2024,Text,41959,34861,1212,66,65,142
139,Twitter,18-05-2024,Carousel,26756,17554,1213,74,93,180
140,Instagram,19-05-2024,Carousel,40762,28415,1931,211,145,80
141,Twitter,20-05-2024,Carousel,37580,27344,1686,117,167,131
142,Twitter,21-05-2024,Text,1824,1372,49,6,1,6
143,LinkedIn,22-05-2024,Video,26231,17646,977,149,27,53
144,LinkedIn,23-05-2024,Video,36409,23099,962,163,74,92
145,Instagram,24-05-2024,Text,24303,19033,485,38,32,57
146,Twitter,25-05-2024,Carousel,20370,13985,1049,78,43,109
147,Twitter,26-05-2024,Carousel,35078,27163,766,50,20,40
148,Twitter,27-05-2024,Video,7088,4581,352,51,9,25
149,Instagram,28-05-2024,Carousel,38569,28708,1342,209,122,166
150,Instagram,29-05-2024,Image,27290,20734,644,35,22,62
151,LinkedIn,30-05-2024,Video,25789,15874,833,158,38,25
152,Instagram,31-05-2024,Carousel,28678,20102,1454,84,55,176
153,Twitter,01-06-2024,Video,29210,18703,1195,156,57,40
154,Twitter,02-06-2024,Image,15985,9894,676,105,17,80
155,Instagram,03-06-2024,Video,44982,40348,2401,433,147,130
156,Twitter,04-06-2024,Video,21152,14736,906,142,23,131
157,Twitter,05-06-2024,Video,5248,4423,313,53,26,23
158,Instagram,06-06-2024,Video,21733,14700,514,51,19,35
159,Instagram,07-06-2024,Image,9935,7992,394,67,24,18
160,Twitter,08-06-2024,Text,4209,3485,115,7,10,7
161,Twitter,09-06-2024,Video,30855,24026,1904,350,137,257
162,Twitter,10-06-2024,Video,13616,10095,773,102,48,115
163,LinkedIn,11-06-2024,Carousel,25970,18790,420,72,19,31
164,LinkedIn,12-06-2024,Video,42844,30190,1881,221,87,157
165,LinkedIn,13-06-2024,Carousel,43418,38158,2881,422,211,336
166,Instagram,14-06-2024,Text,39798,33795,1042,134,103,142
167,LinkedIn,15-06-2024,Image,43456,38654,2090,333,152,211
168,Instagram,16-06-2024,Image,15183,9675,724,45,46,55
169,Instagram,17-06-2024,Text,1004,822,18,1,1,1
170,LinkedIn,18-06-2024,Image,34482,30395,1879,163,107,213
171,LinkedIn,19-06-2024,Text,34799,22771,861,63,21,26
172,LinkedIn,20-06-2024,Text,28516,17678,1334,241,86,139
173,Twitter,21-06-2024,Text,24460,20114,1574,130,152,114
174,LinkedIn,22-06-2024,Image,34091,26329,2018,396,68,252
175,Twitter,23-06-2024,Carousel,17812,15185,735,73,55,30
176,Instagram,24-06-2024,Text,38297,24584,1763,136,63,177
177,Twitter,25-06-2024,Video,46696,39158,2767,466,173,242
178,LinkedIn,26-06-2024,Image,49785,32882,1287,191,35,137
179,Instagram,27-06-2024,Text,2605,1690,117,14,6,4
180,Instagram,28-06-2024,Text,36895,23955,532,70,42,52
181,Instagram,29-06-2024,Video,46240,39043,2177,343,104,211
182,Twitter,30-06-2024,Carousel,23200,18549,626,52,45,60
183,LinkedIn,01-07-2024,Carousel,35120,26583,723,144,60,74
184,Instagram,02-07-2024,Carousel,38178,27016,665,130,62,73
185,Instagram,03-07-2024,Text,21059,18177,1122,165,43,142
186,Instagram,04-07-2024,Text,28009,20102,811,64,42,50
187,Twitter,05-07-2024,Text,28360,23963,1521,231,48,196
188,Twitter,06-07-2024,Image,11503,8417,201,12,19,18
189,LinkedIn,07-07-2024,Video,22232,15853,616,33,58,24
190,Twitter,08-07-2024,Text,26326,19449,1018,90,64,37
191,Instagram,09-07-2024,Video,30854,21302,1436,171,125,100
192,LinkedIn,10-07-2024,Video,14343,11822,462,83,28,57
193,Instagram,11-07-2024,Carousel,44972,33765,1943,309,135,223
194,Instagram,12-07-2024,Image,49029,32832,2401,387,65,299
195,Twitter,13-07-2024,Text,6690,5819,331,37,26,30
196,LinkedIn,14-07-2024,Carousel,18140,12973,440,44,13,36
197,Twitter,15-07-2024,Carousel,38913,29693,637,67,54,30
198,Twitter,16-07-2024,Text,42856,37367,2698,534,222,187
199,LinkedIn,17-07-2024,Video,45097,35503,755,42,57,61
200,Instagram,18-07-2024,Carousel,41321,26241,1902,342,43,77
201,Instagram,19-07-2024,Video,3830,3377,174,23,7,9
202,LinkedIn,20-07-2024,Image,19587,15440,1178,136,48,119
203,Instagram,21-07-2024,Video,41930,29370,1995,316,97,235
204,LinkedIn,22-07-2024,Image,25004,16047,1281,157,34,191
205,LinkedIn,23-07-2024,Video,7614,6382,261,47,24,37
206,Twitter,24-07-2024,Carousel,13823,10865,717,132,46,76
207,LinkedIn,25-07-2024,Carousel,34621,26313,1160,131,51,93
208,Twitter,26-07-2024,Image,11475,9962,486,44,25,51
209,Instagram,27-07-2024,Text,11523,9639,555,77,30,68
210,Instagram,28-07-2024,Image,21947,14166,1025,191,69,45
211,Instagram,29-07-2024,Image,25433,17638,1394,113,85,110
212,Instagram,30-07-2024,Video,24459,16498,1090,156,101,142
213,Twitter,31-07-2024,Video,1167,960,43,6,2,3
214,Instagram,01-08-2024,Image,30203,18425,834,133,82,82
215,LinkedIn,02-08-2024,Carousel,9837,7584,487,33,42,48
216,LinkedIn,03-08-2024,Video,46927,38890,1334,209,48,69
217,LinkedIn,04-08-2024,Text,36987,31920,849,158,80,62
218,Twitter,05-08-2024,Video,19629,13791,569,43,16,39
219,Instagram,06-08-2024,Video,40751,34490,1284,109,109,42
220,Instagram,07-08-2024,Text,32421,20528,775,151,39,25
221,Instagram,08-08-2024,Image,33807,28869,982,75,88,127
222,Twitter,09-08-2024,Text,27855,17778,400,71,35,25
223,LinkedIn,10-08-2024,Image,38232,27495,579,71,48,53
224,LinkedIn,11-08-2024,Image,5335,4477,354,30,29,23
225,Instagram,12-08-2024,Image,20659,13324,608,109,26,86
226,LinkedIn,13-08-2024,Text,39310,26289,1131,132,29,69
227,LinkedIn,14-08-2024,Image,48105,39286,2387,303,124,194
228,Twitter,15-08-2024,Carousel,40580,33113,1095,113,37,147
229,Twitter,16-08-2024,Text,38588,30574,2354,327,177,308
230,Twitter,17-08-2024,Carousel,13716,11085,744,55,35,38
231,Twitter,18-08-2024,Image,36047,27497,697,75,68,88
232,Instagram,19-08-2024,Video,31971,21597,973,190,69,82
233,Twitter,20-08-2024,Image,17808,12531,911,80,78,80
234,LinkedIn,21-08-2024,Carousel,28032,18346,1406,208,43,64
235,Instagram,22-08-2024,Carousel,34849,30406,1460,144,129,57
236,LinkedIn,23-08-2024,Text,45945,35608,2022,335,189,237
237,LinkedIn,24-08-2024,Video,6213,4474,134,9,7,12
238,LinkedIn,25-08-2024,Text,49907,36861,2929,572,200,241
239,Twitter,26-08-2024,Carousel,5304,4689,158,18,12,18
240,Twitter,27-08-2024,Image,10636,6870,525,44,17,63
241,Instagram,28-08-2024,Video,509,394,23,1,1,1
242,Instagram,29-08-2024,Image,19755,14851,838,63,43,86
243,Twitter,30-08-2024,Image,24293,19032,966,123,30,44
244,LinkedIn,31-08-2024,Video,30048,18192,615,61,30,73
245,Instagram,01-09-2024,Text,38392,33079,1011,176,25,110
246,Twitter,02-09-2024,Image,1515,1332,44,5,0,6
247,Twitter,03-09-2024,Carousel,28212,21710,677,59,20,25
248,Twitter,04-09-2024,Image,35461,28687,1915,273,185,70
249,LinkedIn,05-09-2024,Video,8915,7816,320,49,20,20
250,Twitter,06-09-2024,Video,46818,38024,892,66,86,54
251,Twitter,07-09-2024,Video,47780,30854,2411,181,131,143
252,Twitter,08-09-2024,Text,24333,18806,1373,76,61,190
253,Twitter,09-09-2024,Image,4658,3642,275,44,16,16
254,Instagram,10-09-2024,Text,20809,15133,1206,180,66,75
255,Instagram,11-09-2024,Text,7470,6132,186,22,5,22
256,Twitter,12-09-2024,Video,7438,6547,286,50,20,24
257,LinkedIn,13-09-2024,Video,21668,19017,1245,212,46,153
258,Instagram,14-09-2024,Text,47040,34586,2136,294,148,80
259,Twitter,15-09-2024,Image,20884,13239,387,69,27,34
260,Instagram,16-09-2024,Carousel,18517,16581,1143,92,36,38
261,Instagram,17-09-2024,Text,10844,9235,309,20,7,11
262,LinkedIn,18-09-2024,Image,40534,25836,863,78,71,119
263,Twitter,19-09-2024,Video,9202,8063,421,24,23,19
264,Twitter,20-09-2024,Video,884,761,42,5,1,3
265,LinkedIn,21-09-2024,Image,904,683,37,7,3,2
266,LinkedIn,22-09-2024,Carousel,41443,32217,821,45,20,58
267,Twitter,23-09-2024,Video,48426,34852,2531,172,191,349
268,Twitter,24-09-2024,Video,29689,18301,657,77,64,21
269,LinkedIn,25-09-2024,Video,13263,9291,258,49,10,28
270,Instagram,26-09-2024,Image,18884,15878,1164,113,36,169
271,Instagram,27-09-2024,Text,33106,19909,1539,194,45,149
272,LinkedIn,28-09-2024,Video,10360,7252,520,29,23,74
273,Instagram,29-09-2024,Text,39257,28243,1936,139,54,70
274,LinkedIn,30-09-2024,Carousel,15606,11879,704,139,53,56
275,Instagram,01-10-2024,Video,24074,21087,1118,217,27,68
276,Instagram,02-10-2024,Video,24024,16910,426,21,25,50
277,Twitter,03-10-2024,Carousel,4136,2912,129,24,12,19
278,Twitter,04-10-2024,Video,11416,9375,397,57,33,24
279,Instagram,05-10-2024,Text,5309,3905,138,24,9,14
280,Instagram,06-10-2024,Image,32701,21824,1383,163,61,74
281,Twitter,07-10-2024,Text,13956,10267,510,64,35,49
282,Twitter,08-10-2024,Image,48712,31285,777,95,48,66
283,Twitter,09-10-2024,Image,39265,25636,851,127,46,124
284,LinkedIn,10-10-2024,Text,35316,26469,1614,114,49,166
285,Instagram,11-10-2024,Text,45606,33095,813,44,73,58
286,Twitter,12-10-2024,Text,17600,15390,1093,105,61,47
287,Instagram,13-10-2024,Text,22449,15910,790,123,28,38
288,LinkedIn,14-10-2024,Carousel,5044,3904,190,15,9,10
289,LinkedIn,15-10-2024,Video,38244,30200,1677,253,89,100
290,Twitter,16-10-2024,Image,46043,27806,1931,377,166,255
291,LinkedIn,17-10-2024,Text,43283,34585,1413,90,111,137
292,Instagram,18-10-2024,Text,27157,17744,1076,162,87,99
293,Twitter,19-10-2024,Text,36687,32589,1757,204,36,76
294,Instagram,20-10-2024,Carousel,47698,30746,1107,199,58,147
295,Instagram,21-10-2024,Text,7739,5606,407,31,23,47
296,LinkedIn,22-10-2024,Text,14989,9377,636,97,13,24
297,LinkedIn,23-10-2024,Text,49901,44864,2669,468,108,306
298,LinkedIn,24-10-2024,Video,43625,32747,2326,445,187,221
299,LinkedIn,25-10-2024,Carousel,29038,22609,1628,248,50,64
300,LinkedIn,26-10-2024,Text,32549,20184,1261,157,79,107
